Animal Type,Sub-Type,Breed,Age,Age Group,Gender,Disease,Disease_Code,Critical,Severity,Duration (days),Expected_Recovery_Time (days),Symptoms,Is_Vaccinated,Reported_By,Cause of Disease,Precautions,Care,Home Remedies,Treatment/Medicine,Critical_Symptom_1,Critical_Symptom_2,Critical_Symptom_3,Critical_Symptom_4,Critical_Symptom_5,Critical_Symptom_6
Cattle,Cow,Tharparkar,7.7,Adult,Female,Blackleg,5,True,2,2.0,7,"['Rapid deterioration', 'Inability to stand', 'Fever', 'Swollen limbs', 'Acute lameness', 'Crepitus']",False,Veterinarian,Clostridium chauvoei,Vaccinate cattle regularly and avoid grazing in contaminated pastures.,"Keep affected cattle in clean, dry areas and minimize stress during recovery.",No home remedies; urgent veterinary intervention is needed.,Administer high doses of penicillin or oxytetracycline at the earliest stage and vaccinate to prevent further cases.,Crepitus,Inability to stand,Rapid deterioration,,,
Goat,Common,Sirohi,7.1,Adult,Male,Acidosis,9,True,2,1.0,15,"['Dehydration', 'Inability to stand', 'Signs of shock', 'Blindness', 'Cold extremities', 'Depression', 'Diarrhea']",True,Farmer,Excess grain feeding leading to rumen pH drop,Avoid excessive grain feeding and introduce dietary changes gradually.,Provide easily digestible feed and maintain hydration throughout recovery.,Provide baking soda solution orally to balance rumen pH.,"Administer IV fluids, oral sodium bicarbonate, and thiamine injections.",Inability to stand,Cold extremities,Diarrhea,Signs of shock,,
Goat,Common,Sirohi,6.2,Adult,Male,Enterotoxemia,13,False,1,1.0,7,"['Incoordination', 'Sudden death', 'Diarrhea', 'Opisthotonos', 'Prostration', 'Abdominal pain']",False,Para-vet,Clostridium perfringens toxin,Ensure regular vaccination against clostridial diseases.,Provide supportive therapy and maintain a calm environment.,Implement controlled feeding practices.,"Administer clostridial antitoxin, broad-spectrum antibiotics, and IV fluids.",,,,,,
Cattle,Bullock,Rathi,7.5,Adult,Male,Ketosis,28,False,1,5.0,12,"['Weight loss', 'Weakness', 'Loss of appetite', 'Inability to Stand', 'Anorexia', 'Neurological Signs']",True,Veterinarian,Energy imbalance during late pregnancy or early lactation,Balance dietary energy levels during late gestation and lactation.,Offer small frequent meals and reduce stress during recovery.,Provide jaggery water or molasses to increase energy intake.,Provide oral propylene glycol and administer IV glucose if necessary.,,,,,,
Goat,Common,Osmanabadi,5.4,Adult,Female,Pneumonia,11,True,2,5.0,15,"['Lethargy', 'Open-mouth breathing', 'Fever', 'Nasal discharge', 'Anorexia', 'Labored breathing', 'Coughing']",False,Farmer,"Bacterial or viral infection, cold stress",Ensure proper ventilation and avoid overcrowding in sheds.,"Maintain hydration, nutrition, and warmth during recovery.",Keep the animal in warm housing and apply mustard oil chest rub.,"Administer appropriate antibiotics, NSAIDs for fever, and supportive fluid therapy.",Labored breathing,Open-mouth breathing,Anorexia,Lethargy,,
Goat,Common,Nubian,1.0,Young,Male,Indigestion,7,False,1,3.0,9,"['Bloating', 'Loss of appetite', 'Kicking at belly', 'Depression', 'Abdominal pain', 'Rumen stasis']",True,Veterinarian,"Low-quality feed, sudden diet change, moldy feed, toxic plants","Avoid sudden changes in diet and ensure only clean, fresh feed is offered.",Provide easily digestible feed and access to clean water during recovery.,Provide ginger or garlic water and allow neem stick chewing.,"Provide oral sodium bicarbonate drench, probiotics, and fluid therapy.",,,,,,
Goat,Common,Malabari,2.5,Adult,Female,Coccidiosis,25,False,1,8.0,8,"['Inability to stand', 'Bloody diarrhea', 'Poor growth', 'Dehydration']",False,Para-vet,Eimeria species,Maintain sanitation in housing and prevent overcrowding.,Ensure fluid therapy and provide soft feed during recovery.,Provide yogurt mixed with molasses for gut health.,Administer coccidiostats like sulfa drugs and fluids for dehydration.,,,,,,
Cattle,Buffalo,Chilika,7.9,Adult,Female,Brucellosis,19,False,1,14.0,14,"['Abortions', 'Reduced milk production', 'Infertility', 'Swollen joints in males', 'Retained placenta', 'Swelling of testicles (Orchitis)']",True,Veterinarian,Brucella melitensis/abortus,Vaccinate animals and prevent cross-contamination during breeding.,Isolate infected animals and practice herd-level biosecurity.,Maintain strict hygiene and avoid handling aborted material.,No treatment is available; control through vaccination and culling.,,,,,,
Goat,Common,Osmanabadi,5.2,Adult,Female,Anorexia,10,False,1,11.0,14,"['Weight loss', 'High fever', 'Weakness', 'Reduced feed intake', 'Severe diarrhea', 'Intense pain']",True,Veterinarian,Secondary to multiple systemic diseases or stress,Monitor for underlying diseases and reduce environmental stress.,"Offer soft, palatable food and ensure clean water availability.",Provide green fodder and jaggery water to stimulate appetite.,Treat the underlying cause and provide vitamin supplements.,,,,,,
Cattle,Buffalo,Manda,4.4,Adult,Female,Milk Fever,29,False,1,10.0,9,"['Complete Collapse', 'Weakness', 'Recumbency', 'Muscle tremors', 'Inability to Stand', 'Cold ears']",True,Para-vet,Calcium deficiency (Hypocalcemia),Monitor high-yielding animals during calving and provide calcium-rich diets.,Provide soft bedding and help the animal stand to prevent muscle injury.,Provide oral calcium supplements during early lactation.,Administer IV calcium borogluconate under veterinary guidance.,,,,,,
Cattle,Calf,Jersey Cross Calf,2.4,Young,Female,Babesiosis,26,False,1,6.0,10,"['Incoordination', 'Weakness', 'Fever', 'Jaundice', ""Hemoglobinuria ('Redwater')"", 'Mania']",True,Veterinarian,Babesia species (tick-borne),Implement regular tick control programs and maintain pasture hygiene.,Provide iron supplements and high-energy feed.,Use neem oil spray for tick control.,Administer imidocarb or oxytetracycline under veterinary supervision.,,,,,,
Cattle,Buffalo,Banni,0.3,Calf,Female,Tetanus,33,False,1,2.0,13,"['Convulsions', 'Lockjaw', 'Inability to Stand', 'Muscle spasms', 'Difficulty Breathing', 'Stiffness']",False,Veterinarian,Clostridium tetani infection,Vaccinate animals and promptly clean all wounds.,"Keep the animal in a quiet, stress-free area.",Apply antiseptic dressing to wounds.,"Administer tetanus antitoxin, provide wound care, and use antibiotics.",,,,,,
Cattle,Cow,Ayrshire,7.1,Adult,Female,BVD,1,False,1,12.0,15,"['Reduced milk', 'Resp distress', 'Fever', 'Abortion', 'Ulcers in mouth', 'Diarrhea']",True,Para-vet,BVD virus,Implement strict biosecurity measures and regularly vaccinate cattle against BVD.,Ensure isolation of infected animals and maintain proper hygiene in the cattle shed.,Provide electrolyte-enriched water to prevent dehydration.,"Provide supportive fluids to prevent dehydration, administer NSAIDs to reduce fever and inflammation, and follow a proper vaccination program to prevent recurrence.",,,,,,
Cattle,Cow,Ayrshire,5.1,Adult,Female,Anaplasmosis,27,False,1,9.0,7,"['Weight loss', 'Aggression', 'Fever', 'Anemia', 'Lethargy and Weakness', 'Unable to stand']",False,Para-vet,Anaplasma ovis/marginale,Control ticks and avoid shared needles during injections.,Offer easily digestible feed and adequate hydration.,Apply neem-based tick repellents.,Administer oxytetracycline and provide supportive therapy.,,,,,,
